Position,Move,Times_Repeated,Move_Number,Side,Original_Eval_Before,Original_Eval_After,Original_Eval_Drop,Original_Move_Quality,Stockfish_Eval_Drop,Stockfish_Move_Quality,Stockfish_Best_Move,Opening,Move_Theme,Board_Image,Your_Move_Eval,Best_Move_Eval,Eval_Difference
rnbqkbnr/pp2pppp/8/2pp4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 1 3,Nf6,3,6,Black,-0.14,-0.17,0.03,Good,28,Excellent,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_403.png,,,
rnbqkb1r/ppppp2p/5np1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.57,0.59,-0.02,Good,128,Good,g3,Dutch Defense,knight_development; knight_development,board_images/board_404.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 0 4,Nxe5,3,8,Black,-1.75,-1.71,-0.04,Good,374,Excellent,Nxe5,Petroff Defense,capture,board_images/board_405.png,-1.71,2.03,3.74
r1bqkb1r/pppp1ppp/5n2/4n3/3PP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nc6,3,10,Black,-1.89,-0.84,-1.05,Blunder,218,Good,Ng6,Petroff Defense,knight_development; knight_development,board_images/board_406.png,-0.84,1.34,2.18
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,h6,3,8,Black,-0.2,0.07,-0.27,Blunder,19,Inaccuracy,d5,Petroff Defense,defensive,board_images/board_407.png,0.07,0.26,0.19
r1bqkb1r/pppp1pp1/2n2n1p/4p3/4P3/2NP1N2/PPP1BPPP/R1BQK2R b KQkq - 1 5,Bb4,3,10,Black,-0.19,0.26,-0.45,Blunder,6,Good,d5,Petroff Defense,bishop_development,board_images/board_408.png,0.26,0.32,0.06
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,e3,3,7,White,0.69,-0.15,0.84,Blunder,32,Inaccuracy,Nf3,Queen's Pawn Game,general,board_images/board_409.png,,,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 3,Nf6,3,6,Black,0.21,0.27,-0.06,Inaccuracy,-43,Good,dxc4,Queen's Gambit,knight_development; knight_development,board_images/board_410.png,,,
r1bqkb1r/ppp2ppp/2n5/1B1pp3/4N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 1 6,dxe4,3,12,Black,-2.31,-1.99,-0.32,Blunder,303,Excellent,dxe4,Petroff Defense,pawn_capture; capture,board_images/board_411.png,-1.99,1.04,3.03
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,cxd5,3,7,White,0.21,0.26,-0.05,Inaccuracy,61,Good,Nf3,King's Indian Defense,capture,board_images/board_412.png,,,
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq - 4 5,Bg4,3,10,Black,0.22,0.23,-0.01,Excellent,-41,Inaccuracy,Nh5,Queen's Pawn Game,bishop_development,board_images/board_413.png,0.23,-0.18,0.41
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bf4,3,9,White,0.32,0.33,-0.01,Excellent,69,Excellent,Bf4,Queen's Gambit,bishop_development; bishop_development,board_images/board_414.png,,,
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 4 6,e3,3,11,White,0.24,0.2,0.04,Good,49,Excellent,e3,Queen's Pawn Game,general,board_images/board_415.png,0.20,0.69,0.49
r1b1kbnr/ppp2ppp/2n5/3q4/3P4/5N2/PP3PPP/RNBQKB1R b KQkq - 2 6,Bg4,3,12,Black,-0.15,-0.12,-0.03,Good,25,Excellent,Bg4,King's Pawn Game,bishop_development,board_images/board_416.png,-0.12,0.13,0.25
rnbqkbnr/pp2pppp/8/2Pp4/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 3,Nf6,3,6,Black,-0.2,-0.16,-0.04,Good,37,Excellent,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_417.png,,,
rnbqkbnr/pp2pppp/2p5/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,3,7,White,0.84,0.85,-0.01,Excellent,181,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_418.png,,,
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2P1PN2/PP1N1PPP/R2QKB1R b KQkq - 0 6,e6,3,12,Black,0.36,0.22,0.14,Mistake,-61,Excellent,e6,Queen's Pawn Game,general,board_images/board_419.png,0.22,-0.39,0.61
rnbqk1nr/pp1p1ppp/2p1p3/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,3,7,White,0.58,0.46,0.12,Mistake,106,Good,a3,Queen's Pawn Game,knight_development; knight_development,board_images/board_420.png,0.46,1.52,1.06
rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bd2,3,9,White,0.4,0.38,0.02,Good,68,Excellent,Bd2,Queen's Pawn Game,bishop_development,board_images/board_421.png,,,
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5,d6,3,10,Black,-0.51,0.2,-0.71,Blunder,13,Good,Nxe4,Petroff Defense,general,board_images/board_422.png,0.20,0.33,0.13
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2PBP3/PP3PPP/RN1QK1NR b KQkq - 2 5,Bg4,3,10,Black,-0.36,-0.09,-0.27,Blunder,55,Good,Qb6,Queen's Pawn Game,bishop_development,board_images/board_423.png,-0.09,0.46,0.55
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d5,3,2,Black,-0.11,-0.06,-0.05,Good,38,Excellent,d5,Unknown,pawn_push; central_control,board_images/board_424.png,,,
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/2N4P/PPPP1PP1/R1BQKB1R b KQkq - 0 6,Qd6,3,12,Black,1.86,1.94,-0.08,Inaccuracy,-361,Inaccuracy,Qd4,Petroff Defense,general,board_images/board_425.png,1.94,-1.67,3.61
rn1qk1nr/ppp2ppp/4p3/3p1b2/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,3,9,White,0.44,0.41,0.03,Good,93,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_426.png,0.41,1.34,0.93
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,e4,3,7,White,0.52,0.52,0.0,Best,105,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_427.png,0.52,1.57,1.05
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 5,b5,3,10,Black,0.16,0.34,-0.18,Mistake,-33,Good,Be7,Petroff Defense,queenside_attack,board_images/board_428.png,0.34,0.01,0.33
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Qd3,3,7,White,0.69,-0.41,1.1,Blunder,79,Inaccuracy,Nf3,Queen's Gambit,general,board_images/board_429.png,,,
rnbqkbnr/ppp2pp1/4p2p/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.31,0.38,-0.07,Inaccuracy,63,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_430.png,,,
rnbqkb1r/ppp2pp1/4pn1p/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bf4,3,9,White,0.34,0.39,-0.05,Good,66,Good,g3,Queen's Gambit,bishop_development; bishop_development,board_images/board_431.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/P1N2N2/1PPP1PPP/R1BQKB1R b KQkq - 0 4,g6,3,8,Black,-0.11,0.2,-0.31,Blunder,-11,Inaccuracy,d5,Petroff Defense,defensive,board_images/board_432.png,0.20,0.09,0.11
r1bq1bkr/ppp3p1/2n4p/3pp3/8/3P1N1N/PPP2PPP/R1BQK2R b KQ - 1 9,Bg4,3,18,Black,-2.76,-2.59,-0.17,Mistake,514,Blunder,Bd6,Petroff Defense,bishop_development,board_images/board_433.png,-2.59,2.55,5.14
rn1qkbnr/pbpppp1p/1p4p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,3,7,White,1.03,1.04,-0.01,Excellent,207,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_434.png,1.04,3.11,2.07
rn1qk1nr/pbppppbp/1p4p1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Nf3,3,9,White,0.96,0.9,0.06,Inaccuracy,199,Mistake,h4,Queen's Pawn Game,knight_development; knight_development,board_images/board_435.png,0.90,2.89,1.99
rnbqkbnr/pp2pp1p/2p3p1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.46,0.38,0.08,Inaccuracy,93,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_436.png,,,
rnbqkb1r/pppp1ppp/5n2/4P3/5p2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 4,Ng8,3,8,Black,0.69,0.61,0.08,Inaccuracy,-107,Excellent,Ng8,King's Pawn Game,knight_development,board_images/board_437.png,,,
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,3,9,White,0.24,0.21,0.03,Good,50,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_438.png,0.21,0.71,0.50
rnbqkbnr/pp2pppp/8/2Pp4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,e5,3,6,Black,0.06,0.84,-0.78,Blunder,-90,Inaccuracy,e6,Queen's Pawn Game,pawn_push; central_control,board_images/board_439.png,,,
r1bqk2r/pppnbppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 6 6,e3,3,11,White,0.3,0.22,0.08,Inaccuracy,51,Good,cxd5,Queen's Gambit,general,board_images/board_440.png,0.22,0.73,0.51
r1bq1rk1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 7,Bd3,3,13,White,0.25,0.2,0.05,Good,38,Inaccuracy,Rc1,Queen's Gambit,bishop_development; bishop_development,board_images/board_441.png,0.20,0.58,0.38
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Bd2,3,7,White,0.46,0.5,-0.04,Good,99,Excellent,Bd2,Dutch Defense,bishop_development,board_images/board_442.png,0.50,1.49,0.99
r2qkb1r/pp2pppp/2n2n2/2pp4/3P1Bb1/2PBPN2/PP3PPP/RN1QK2R b KQkq - 4 6,e6,3,12,Black,-0.22,0.09,-0.31,Blunder,18,Good,Qb6,Queen's Pawn Game,general,board_images/board_443.png,0.09,0.27,0.18
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Bg5,3,5,White,0.21,-0.01,0.22,Blunder,36,Inaccuracy,g3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_444.png,,,
r1bqkb1r/ppp2ppp/2n1pn2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 1 6,Nf3,3,11,White,0.97,1.0,-0.03,Good,169,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_445.png,1.00,2.69,1.69
r1bq1rk1/pppn1ppp/4pn2/6B1/1bpP4/2NBPN2/PP3PPP/R2QK2R w KQ - 0 8,Bxc4,3,15,White,0.21,0.21,0.0,Best,53,Excellent,Bxc4,Queen's Pawn Game,capture,board_images/board_446.png,0.21,0.74,0.53
rnbqkb1r/pp3ppp/4pn2/2Pp4/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5,Bxc5,3,10,Black,-0.15,-0.2,0.05,Inaccuracy,4,Excellent,Bxc5,Queen's Gambit,capture,board_images/board_447.png,,,
rnbqk2r/pp2bpp1/2p1pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,3,13,White,0.46,0.38,0.08,Inaccuracy,63,Good,Bxf6,Queen's Gambit,bishop_development,board_images/board_448.png,,,
rnbqkbnr/ppp2ppp/8/3p4/3QP3/2P5/PP3PPP/RNB1KBNR b KQkq - 0 4,Nf6,3,8,Black,-0.31,-0.13,-0.18,Mistake,46,Good,Be6,King's Pawn Game,knight_development; knight_development,board_images/board_449.png,,,
r1bqkb1r/pp3ppp/2n1pn2/2pP4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 6,exd5,3,12,Black,0.18,0.26,-0.08,Inaccuracy,-23,Excellent,exd5,Queen's Gambit,pawn_capture; capture,board_images/board_450.png,0.26,0.03,0.23
rn1qk2r/pp2bppp/2p1pn2/3p1bB1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,Bd3,3,13,White,0.17,0.18,-0.01,Excellent,35,Good,Nh4,Queen's Gambit,bishop_development; bishop_development,board_images/board_451.png,0.18,0.53,0.35
rnbqkb1r/ppp2ppp/8/4P3/3Pp3/8/PPP3PP/R1BQKBNR b KQkq d3 0 6,Nc6,3,12,Black,-0.48,0.47,-0.95,Blunder,9,Inaccuracy,exd3,King's Pawn Game,knight_development; knight_development,board_images/board_452.png,,,
r1bqkb1r/pp2pppp/2n2n2/1Npp4/3P1B2/4P3/PPP2PPP/R2QKBNR b KQkq - 2 5,e5,3,10,Black,1.67,1.68,-0.01,Excellent,-335,Good,Bg4,Queen's Pawn Game,pawn_push; central_control,board_images/board_453.png,1.68,-1.67,3.35
rnbqkb1r/pp3ppp/4pn2/2p3B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,e4,3,11,White,0.18,0.16,0.02,Excellent,27,Inaccuracy,Bxf6,Queen's Gambit,pawn_push; central_control,board_images/board_454.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,exd4,3,6,Black,-0.4,-0.3,-0.1,Mistake,94,Excellent,exd4,King's Pawn Game,pawn_capture; capture,board_images/board_455.png,,,
rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 0 4,Nc6,3,8,Black,0.1,1.66,-1.56,Blunder,-163,Inaccuracy,cxd4,Queen's Pawn Game,knight_development; knight_development,board_images/board_456.png,,,
rnbqk1nr/ppp2ppp/4p3/3p4/2PP4/2b2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,bxc3,3,9,White,0.81,0.82,-0.01,Excellent,160,Excellent,bxc3,Queen's Pawn Game,capture,board_images/board_457.png,0.82,2.42,1.60
rnbqk2r/ppp2p2/4pn1p/3p2p1/2PP3B/2P2N2/P3PPPP/R2QKB1R w KQkq - 0 8,Bg3,3,15,White,1.07,0.93,0.14,Mistake,201,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_458.png,,,
rnbqk2r/ppp2p2/4p2p/3p2p1/2PPn3/2P2NB1/P3PPPP/R2QKB1R w KQkq - 2 9,Qc2,3,17,White,0.98,0.85,0.13,Mistake,174,Good,Nd2,Queen's Pawn Game,general,board_images/board_459.png,,,
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,3,9,White,0.54,0.13,0.41,Blunder,59,Inaccuracy,h3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_460.png,,,
rnbqkbnr/ppp2ppp/8/3p4/3PP3/8/PP3PPP/RNBQKBNR b KQkq - 0 4,dxe4,3,8,Black,-0.85,-0.87,0.02,Good,184,Excellent,dxe4,King's Pawn Game,pawn_capture; capture,board_images/board_461.png,,,
rnbqkbnr/pp3ppp/2p1p3/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,3,9,White,0.38,0.03,0.35,Blunder,16,Inaccuracy,a4,Queen's Gambit,pawn_push; central_control,board_images/board_462.png,,,
rn1qkbnr/ppp1pppp/3p4/5b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,3,5,White,0.64,0.73,-0.09,Inaccuracy,161,Excellent,Nc3,Queen's Pawn Game,knight_development; knight_development,board_images/board_463.png,0.73,2.34,1.61
rnbq1rk1/ppp2pp1/4pn1p/3p4/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQ - 2 7,e3,3,13,White,0.31,0.42,-0.11,Mistake,63,Excellent,e3,Queen's Gambit,general,board_images/board_464.png,0.42,1.05,0.63
r1bq1rk1/pppn1pp1/4pn1p/3p4/1bPP3B/2N1PN2/PP3PPP/R2QKB1R w KQ - 1 8,Bd3,3,15,White,0.57,0.29,0.28,Blunder,87,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_465.png,0.29,1.16,0.87
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,e4,3,7,White,0.69,-0.06,0.75,Blunder,50,Inaccuracy,Nf3,Queen's Gambit,pawn_push; central_control,board_images/board_466.png,,,
rnbqk1nr/ppp2ppp/4p3/8/1bBP4/4P3/PP3PPP/RNBQK1NR w KQkq - 1 5,Bd2,3,9,White,0.53,0.47,0.06,Inaccuracy,83,Good,Nc3,Queen's Gambit,bishop_development,board_images/board_467.png,0.47,1.30,0.83
rnbqk1nr/ppp2ppp/4p3/8/2BP4/4P3/PP1b1PPP/RN1QK1NR w KQkq - 0 6,Nxd2,3,11,White,0.48,0.54,-0.06,Inaccuracy,74,Excellent,Nxd2,Queen's Gambit,capture,board_images/board_468.png,0.54,1.28,0.74
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,c6,3,8,Black,-0.12,-0.1,-0.02,Excellent,70,Excellent,c6,King's Pawn Game,general,board_images/board_469.png,,,
rnbqkb1r/pp2pppp/5n2/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.29,-0.22,0.51,Blunder,-6,Inaccuracy,cxd5,Queen's Pawn Game,knight_development; knight_development,board_images/board_470.png,,,
rn1qkb1r/pp3pp1/2p1pn1p/3p2B1/2PP2b1/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,3,13,White,0.4,0.26,0.14,Mistake,57,Good,Bxf6,Queen's Gambit,bishop_development,board_images/board_471.png,0.26,0.83,0.57
r1bqkb1r/pp3ppp/2n2n2/2Pp4/8/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 7,Bxc5,3,14,Black,-0.16,-0.13,-0.03,Good,37,Excellent,Bxc5,Queen's Gambit,capture,board_images/board_472.png,-0.13,0.24,0.37
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2Q2/PPPP2PP/R1B1KBNR b KQkq - 1 5,Be6,3,10,Black,-0.29,0.04,-0.33,Blunder,22,Inaccuracy,f5,King's Pawn Game,bishop_development,board_images/board_473.png,,,
rn1qkb1r/ppp2ppp/4b3/3pP3/4N3/5Q2/PPPP2PP/R1B1KBNR b KQkq - 0 6,dxe4,3,12,Black,0.1,0.06,0.04,Good,-19,Excellent,dxe4,King's Pawn Game,pawn_capture; capture,board_images/board_474.png,0.06,-0.13,0.19
r1bqkbnr/pp2pppp/2n5/2pp4/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,Nf6,3,8,Black,0.18,1.84,-1.66,Blunder,-181,Inaccuracy,e6,Reti Opening,knight_development; knight_development,board_images/board_475.png,,,
r1bqk2r/ppp1bppp/2n2n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 7,Bg4,3,14,Black,0.46,0.92,-0.46,Blunder,-131,Inaccuracy,h6,Queen's Gambit,bishop_development,board_images/board_476.png,0.92,-0.39,1.31
rn1qkbnr/p1p1pppp/b7/1p6/P1pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 1 5,axb5,3,9,White,1.98,2.1,-0.12,Mistake,428,Excellent,axb5,Queen's Gambit,capture,board_images/board_477.png,2.10,6.38,4.28
rnbqkb1r/p1p2ppp/1p2pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,3,9,White,0.52,0.3,0.22,Blunder,77,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_478.png,,,
r1bqk2r/ppp2pp1/2np1n1p/4p3/1b2P3/P1NP1N2/1PPBBPPP/R2QK2R b KQkq - 0 7,Ba5,3,14,Black,0.14,0.23,-0.09,Inaccuracy,-20,Good,Bxc3,Petroff Defense,bishop_development,board_images/board_479.png,0.23,0.03,0.20
r1bqk2r/ppp1bpp1/2n1pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,3,13,White,0.54,0.49,0.05,Inaccuracy,95,Good,Bf4,Queen's Gambit,bishop_development,board_images/board_480.png,0.49,1.44,0.95
r1bqkb1r/pppp1ppp/2n5/4p3/2B1n3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5,Nxc3,3,10,Black,-1.73,-1.7,-0.03,Good,357,Excellent,Nxc3,Petroff Defense,capture,board_images/board_481.png,-1.70,1.87,3.57
r1bqkb1r/pppp1ppp/2n5/4p3/2B5/2PP1N2/P1P2PPP/R1BQK2R b KQkq - 0 6,d5,3,12,Black,-1.66,-1.68,0.02,Good,343,Excellent,d5,Petroff Defense,pawn_push; central_control,board_images/board_482.png,-1.68,1.75,3.43
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 5 4,Bc5,3,8,Black,-0.13,0.59,-0.72,Blunder,-23,Inaccuracy,d5,King's Pawn Game,bishop_development,board_images/board_483.png,0.59,0.36,0.23
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2N2N2/PPPPBPPP/R1BQ1RK1 b kq - 7 5,d6,3,10,Black,-0.17,-0.08,-0.09,Inaccuracy,42,Excellent,d6,King's Pawn Game,general,board_images/board_484.png,-0.08,0.34,0.42
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,c5,3,4,Black,0.24,0.27,-0.03,Good,-30,Excellent,c5,King's Indian Attack,pawn_push; central_control; queenside_attack,board_images/board_485.png,,,
rnbqkb1r/ppp2ppp/4p3/8/3PP3/2P5/P4PPP/R1BQKBNR b KQkq - 0 6,b6,3,12,Black,0.31,0.68,-0.37,Blunder,-107,Inaccuracy,c5,Queen's Gambit,defensive,board_images/board_486.png,,,
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bf4,3,9,White,0.63,0.2,0.43,Blunder,90,Good,Qb3,Queen's Gambit,bishop_development; bishop_development,board_images/board_487.png,0.20,1.10,0.90
rn1qkb1r/ppp2ppp/8/3pP3/4n3/2N2B2/PPPP2PP/R1BQK2R b KQkq - 0 7,Qh4+,3,14,Black,0.4,2.01,-1.61,Blunder,-265,Inaccuracy,Nc6,King's Pawn Game,check,board_images/board_488.png,2.01,-0.64,2.65
rnbq1rk1/pp2bpp1/2p1pn1p/8/2pP3B/2NBPN2/PP3PPP/R2QK2R w KQ - 0 9,Bxc4,3,17,White,0.44,0.32,0.12,Mistake,49,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_489.png,0.32,0.81,0.49
r1bqk2r/pppn1ppp/4pn2/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 4 6,e3,3,11,White,0.42,0.42,0.0,Best,91,Good,cxd5,Queen's Gambit,general,board_images/board_490.png,0.42,1.33,0.91
r1bqk2r/pppn1pp1/4pn1p/3p2B1/1bPP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,Bh4,3,13,White,0.43,0.41,0.02,Good,103,Excellent,Bh4,Queen's Gambit,bishop_development,board_images/board_491.png,0.41,1.44,1.03
rnbqkbnr/pp1ppppp/8/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,d6,3,4,Black,0.29,0.56,-0.27,Blunder,-62,Inaccuracy,e6,English Opening,general,board_images/board_492.png,,,
rnbqk2r/pppp1ppp/4pn2/6B1/2PP4/2b5/PP2PPPP/R2QKBNR w KQkq - 0 5,bxc3,3,9,White,0.27,0.2,0.07,Inaccuracy,58,Excellent,bxc3,Queen's Pawn Game,capture,board_images/board_493.png,,,
rnbq1rk1/pp2bpp1/2p1pn1p/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ - 0 8,Bh4,3,15,White,0.33,0.24,0.09,Inaccuracy,73,Good,Bf4,Queen's Gambit,bishop_development,board_images/board_494.png,0.24,0.97,0.73
r1bqk2r/p1pp1ppp/2p2n2/2b5/4P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 7,d6,3,14,Black,0.32,0.49,-0.17,Mistake,-58,Good,O-O,Petroff Defense,general,board_images/board_495.png,0.49,-0.09,0.58
rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.61,0.01,0.6,Blunder,61,Inaccuracy,d5,Queen's Pawn Game,knight_development; knight_development,board_images/board_496.png,0.01,0.62,0.61
r2qkb1r/pp1n1ppp/2p1pn2/3p2B1/2PP4/2NbPN2/PP3PPP/R2QK2R w KQkq - 0 8,Qxd3,3,15,White,0.15,0.11,0.04,Good,26,Excellent,Qxd3,Queen's Gambit,capture,board_images/board_497.png,0.11,0.37,0.26
rnbq1rk1/ppppppbp/5np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQ - 4 5,e4,3,9,White,0.54,0.47,0.07,Inaccuracy,79,Excellent,e4,King's Indian Defense,pawn_push; central_control,board_images/board_498.png,0.47,1.26,0.79
rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,3,7,White,0.53,0.57,-0.04,Good,105,Good,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_499.png,0.57,1.62,1.05
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq - 2 4,Bc5,3,8,Black,-0.21,0.14,-0.35,Blunder,-9,Good,d5,Petroff Defense,bishop_development,board_images/board_500.png,0.14,0.05,0.09
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,3,9,White,0.98,0.8,0.18,Mistake,158,Good,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_501.png,,,
rBbqkbnr/pp2pppp/8/2pp4/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,Rxb8,3,6,Black,-0.46,-0.34,-0.12,Mistake,99,Excellent,Rxb8,Queen's Pawn Game,capture,board_images/board_502.png,-0.34,0.65,0.99
